AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT563/21,,"10,0%","90,0%","0,0%","40,0%","Hoyotek Biomedical Co., Ltd.",HYT-G01,Corona Virus (COVID-19) Antigen Rapid Test (Colloidal Gold),N
AT568/21,AT1331/21,"95,0%","100,0%","60,0%","90,0%","Hangzhou Biotest Biotech Co., Ltd",302281,Sienna COVID-19 Antigen-Schnelltestkassette (Nasenabstrich),N
AT573/21,,"0,0%","55,0%","0,0%","22,0%","Diasia Biomedical Technology Co., Ltd.",S03#,DIASIA SARS-CoV-2 Antigen Rapid Test Kit,N
AT582/21,,"65,0%","95,0%","0,0%","64,0%","Guangzhou Tebsun Bio-Tech Development Co., Ltd.",n.a.,Tebsun 2019-nCoV Antigen Test Kit,N
AT583/21,,"15,0%","95,0%","0,0%","44,0%","Zhuhai Encode Medical Engineering Co., Ltd.",RDC-802,ENCODE SARS-COV-2 Antigen Rapid Test Device,N
AT586/21,,"0,0%","60,0%","0,0%","24,0%",Biopanda Reagents,RAPG-CVA-019,COVID-19 Antigen-Schnelltest,N
AT587/21,,"10,0%","85,0%","0,0%","38,0%",FUJIFILM Corporation,16696722,FUJIFILM COVID-19 Ag Test,N
AT593/21,,"80,0%","95,0%","0,0%","70,0%","Nanjing Liming Bio-Products Co., Ltd.",500200,StrongStep® SARS-COV2 Antigen Rapid Test,N
AT595/21,,"25,0%","95,0%","0,0%","48,0%",Chongqing M&D Biotechnology Co. Ltd.,n.a.,2019-nCoV Antigen Test Kit,N
AT628/21,AT1269/21,"50,0%","100,0%","0,0%","60,0%","Hangzhou Sejoy Electronics & Instruments Co.,Ltd.",COVG-602,SARS-CoV-2 Antigen Schnelltestkassette,N
AT635/21,,"15,0%","90,0%","0,0%","42,0%","Chongqing ISIA BIO-Technology Co.,Ltd",n.a.,ISIA SARS-CoV-2 Antigen Rapid Test Kit,N
AT637/21,,"100,0%","100,0%","80,0%","96,0%","Innova Medical Group,Inc",BT1389,INNOVA SARS-CoV-2 Selbsttest (Qualitativer-Antigen- Schnelltest),N
AT662/21,,"0,0%","0,0%","0,0%","0,0%","Hangzhou Fanttest Biotech Co.,Ltd.",n.a.,Fanttest Novel Coronavirus(SARS-CoV-2) Antigen Rapid Test Cassette,N
AT678/21,,"35,0%","100,0%","0,0%","54,0%","Nanjing Synthgene Medical Technology Co., Ltd.",RQ005,Synthgene Neues Coronavirus (SARS-CoV-2) Antigen- Schnellerkennungskit (Collate Gold-Methode),N
AT684/21,,"0,0%","0,0%","0,0%","0,0%","LiClear Biotech (Hangzhou) Co., Ltd.",n.a.,SARS-COV-2 Nucleocapsid (N) Antigen Rapid Test (VIDA TEST Rapid Diagnostic Test),N
AT692/21,,"35,0%","100,0%","0,0%","54,0%","JOYSBIO (Tianjin) Biotechnology Co.,Ltd.",G10322,Joysbio SARS-CoV-2 Antigen rapid test kit -PRO (Colloidal Gold),N
AT711/21,,"5,0%","90,0%","0,0%","38,0%","Weihai Kangzhou Biotechnology Engineering Co., Ltd.",n.a.,Kanzone COVID-19 Antigen Rapid Test,N
AT712/21,,"0,0%","0,0%","0,0%","0,0%",Essa Commerce Bilisim ve Ithalat Ihracat Tic.A.S.,n.a.,Bioessa SARS-CoV-2 Antigen Schnelltest,N
AT715/21,,"0,0%","70,0%","0,0%","28,0%",Dejavu Medikal San. Ve Tic. Ltd. Sti.,DCOV-201,COVID-19 Antigen Schnelltest,N
